stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,radius_re,0.125,SII_SUM,8.73551967768098e+39,2.732099940592605e+39,1.452825449326915e+40,8,0.0,0.0
pre-peak,radius_re,0.125,F_ND,0.01234484382925255,0.004972628888230275,0.019717058770274826,8,0.0232,0.0
pre-peak,radius_re,0.375,O,0.5761654828946581,0.48077132724015353,0.6726524565093507,8,0.0,0.0
pre-peak,radius_re,0.375,I,0.08124676254352689,0.04390459555496569,0.11669160751107446,8,0.0,0.0
pre-peak,radius_re,0.375,T,0.04681158017451879,0.0243358193943993,0.06917568239505864,8,0.0,0.0
pre-peak,radius_re,0.375,F_SF,0.5761654828946581,0.48077132724015353,0.6726524565093507,8,0.0,0.0
pre-peak,radius_re,0.375,F_NSF,0.35943790706473866,0.29421700397597383,0.42402973723720316,8,0.0,0.0
pre-peak,radius_re,0.375,I_NSF,1.013335416050916e+40,1.7357699328634678e+39,1.8333681119393097e+40,8,0.0,0.0
pre-peak,radius_re,0.375,J_NSF,3.556897210678846e+39,3.685495428951592e+38,6.728830750594852e+39,8,0.0,0.0
pre-peak,radius_re,0.375,HA6562,1.0195157164255143e+40,1.8100319116996468e+39,1.8378083773594168e+40,8,0.0,0.0
pre-peak,radius_re,0.375,HB4861,3.564883499993312e+39,6.329494577562973e+38,6.425944425945001e+39,8,0.0,0.0
pre-peak,radius_re,0.375,OIII5006,3.3094295247380754e+39,4.087811640871378e+38,6.189667754865111e+39,8,0.0,0.0
pre-peak,radius_re,0.375,NII6583,2.474265523217658e+39,9.035966101522559e+38,3.953409371938826e+39,8,0.0,0.0
pre-peak,radius_re,0.375,SII_SUM,2.921494944678765e+39,6.295494665919373e+38,5.192173928281649e+39,8,0.0,0.0
pre-peak,radius_re,0.375,F_ND,0.06439661004060321,0.022761514155629103,0.10598115208011483,8,0.0032,0.0
pre-peak,radius_re,0.625,O,0.5911150947585595,0.5334567527318302,0.6500528328056212,8,0.0,0.0
pre-peak,radius_re,0.625,I,0.06625478434508955,0.030818014529865462,0.10102055932607971,8,0.0,0.0
pre-peak,radius_re,0.625,T,0.03916420312635554,0.018168019385426313,0.059255996035287646,8,0.0,0.0
pre-peak,radius_re,0.625,F_SF,0.5911150947585595,0.5334567527318302,0.6500528328056212,8,0.0,0.0
pre-peak,radius_re,0.625,F_NSF,0.36026921245651666,0.3263156452747069,0.3932106238333993,8,0.0,0.0
pre-peak,radius_re,0.625,I_NSF,3.629579265391987e+39,8.450379309088097e+38,6.346518289946025e+39,8,0.0,0.0
pre-peak,radius_re,0.625,J_NSF,1.4183537630774213e+39,2.4528659205542817e+38,2.5773863378883257e+39,8,0.0,0.0
pre-peak,radius_re,0.625,HA6562,3.732987884358003e+39,9.70713789397749e+38,6.439653997224666e+39,8,0.0,0.0
pre-peak,radius_re,0.625,HB4861,1.305301270761726e+39,3.395134644512006e+38,2.2516563655831645e+39,8,0.0,0.0
pre-peak,radius_re,0.625,OIII5006,1.1943743653809438e+39,2.2450334624045595e+38,2.155972889255782e+39,8,0.0,0.0
pre-peak,radius_re,0.625,NII6583,1.052928786450642e+39,5.15895625494465e+38,1.5584295238446587e+39,8,0.0,0.0
pre-peak,radius_re,0.625,SII_SUM,1.3298209741286054e+39,4.340807775879265e+38,2.2127134181658216e+39,8,0.0,0.0
pre-peak,radius_re,0.625,F_ND,0.048615692784923725,0.018793676989606073,0.07740530140257415,8,0.0004,0.0
pre-peak,radius_re,0.875,O,0.5546207017856468,0.5012019360034918,0.6097282118758883,8,0.0,0.0
pre-peak,radius_re,0.875,I,0.031869041228285266,0.02145086343791443,0.04212997932504985,8,0.0,0.0
pre-peak,radius_re,0.875,T,0.017675230011267286,0.011657330339306589,0.02362731634871495,8,0.0,0.0
pre-peak,radius_re,0.875,F_SF,0.5546207017856468,0.5012019360034918,0.6097282118758883,8,0.0,0.0
pre-peak,radius_re,0.875,F_NSF,0.32855897128810085,0.3009223357585408,0.35666839439172243,8,0.0,0.0
pre-peak,radius_re,0.875,I_NSF,1.3266874503437734e+39,6.2083055962618675e+38,2.0082936290517576e+39,8,0.0,0.0
pre-peak,radius_re,0.875,J_NSF,5.0569120882922704e+38,1.8721708977849918e+38,8.167267195007966e+38,8,0.0,0.0
pre-peak,radius_re,0.875,HA6562,1.44016815630403e+39,7.491293440205085e+38,2.1163106907293738e+39,8,0.0,0.0
pre-peak,radius_re,0.875,HB4861,5.035967414385077e+38,2.6200395252702067e+38,7.400066782567135e+38,8,0.0,0.0
pre-peak,radius_re,0.875,OIII5006,4.338035616749518e+38,1.885346533905618e+38,6.773640989984126e+38,8,0.0,0.0
pre-peak,radius_re,0.875,NII6583,5.1190476779880865e+38,3.541965879954347e+38,6.691338666992843e+38,8,0.0,0.0
pre-peak,radius_re,0.875,SII_SUM,6.36836438768101e+38,3.574818052424609e+38,9.09730771281027e+38,8,0.0,0.0
pre-peak,radius_re,0.875,F_ND,0.11682032692625224,0.07574564339762711,0.15673894573191388,8,0.0004,0.0
pre-peak,radius_re,1.125,O,0.5331573977894409,0.46471301016405975,0.6030371883938802,8,0.0,0.0
pre-peak,radius_re,1.125,I,0.02269015857528051,0.017375160976867355,0.02819832720369645,8,0.0,0.0
pre-peak,radius_re,1.125,T,0.012097425901426324,0.009093423093181806,0.015174754529155576,8,0.0,0.0
pre-peak,radius_re,1.125,F_SF,0.5331573977894409,0.46471301016405975,0.6030371883938802,8,0.0,0.0
pre-peak,radius_re,1.125,F_NSF,0.2890931934463423,0.25144476353664497,0.32751578284704197,8,0.0,0.0
pre-peak,radius_re,1.125,I_NSF,8.315335105879894e+38,5.1489550861785374e+38,1.137941580619301e+39,8,0.0,0.0
pre-peak,radius_re,1.125,J_NSF,3.224447534749893e+38,1.4443146967445922e+38,4.96345152267407e+38,8,0.0,0.0
pre-peak,radius_re,1.125,HA6562,9.640333991226102e+38,6.5923526382178366e+38,1.2694682657018806e+39,8,0.0,0.0
pre-peak,radius_re,1.125,HB4861,3.370941706415707e+38,2.305341103199215e+38,4.438799434542543e+38,8,0.0,0.0
pre-peak,radius_re,1.125,OIII5006,2.799952653475927e+38,1.8091898950853026e+38,3.780688927670095e+38,8,0.0,0.0
pre-peak,radius_re,1.125,NII6583,3.687545786678475e+38,2.7335666173589855e+38,4.676454852893495e+38,8,0.0,0.0
pre-peak,radius_re,1.125,SII_SUM,4.425720678459324e+38,3.2022893189927222e+38,5.668931546231166e+38,8,0.0,0.0
