b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
1.500000000000000000e+00,2.685607063210285617e+01,5.547262321743936520e-01,9.659702850239730854e-01,9.576908924212321553e-03,4.771178950124107310e+00,2.890499795207389511e+01
1.500000000000000000e+00,2.698215547075122700e+01,5.586373364753679516e-01,9.637107023152795549e-01,9.585433814142127820e-03,4.746805779277257109e+00,2.902955730423925118e+01
1.500000000000000000e+00,2.710824030939959783e+01,5.625575895791669057e-01,9.614669025250753842e-01,9.593908348612338599e-03,4.722669270046287338e+00,2.915410885829554033e+01
1.500000000000000000e+00,2.723432514804796867e+01,5.664869701845917094e-01,9.592387027684450285e-01,9.602332995785195502e-03,4.698766048538626450e+00,2.927865274676618057e+01
1.500000000000000000e+00,2.736040998669633595e+01,5.704254571385417583e-01,9.570259231136428735e-01,9.610708217607030410e-03,4.675092804182146011e+00,2.940318910014086029e+01
1.500000000000000000e+00,2.748649482534470678e+01,5.743730294343059040e-01,9.548283865210658306e-01,9.619034469916999674e-03,4.651646288253318495e+00,2.952771804691283108e+01
1.500000000000000000e+00,2.761257966399307762e+01,5.783296662098825758e-01,9.526459187837538201e-01,9.627312202553493792e-03,4.628423312446132698e+00,2.965223971361531596e+01
1.500000000000000000e+00,2.773866450264144845e+01,5.822953467463252153e-01,9.504783484693857254e-01,9.635541859458208666e-03,4.605420747480440724e+00,2.977675422485717505e+01
1.500000000000000000e+00,2.786474934128981928e+01,5.862700504661152445e-01,9.483255068637169716e-01,9.643723878777965205e-03,4.582635521748490426e+00,2.990126170335773637e+01
1.500000000000000000e+00,2.799083417993818657e+01,5.902537569315601251e-01,9.461872279154215359e-01,9.651858692964357042e-03,4.560064619998409619e+00,3.002576226998090192e+01
1.500000000000000000e+00,2.811691901858655740e+01,5.942464458432167307e-01,9.440633481822954254e-01,9.659946728871250665e-03,4.537705082053506089e+00,3.015025604376852186e+01
1.500000000000000000e+00,2.824300385723492823e+01,5.982480970383402541e-01,9.419537067787809859e-01,9.667988407850224702e-03,4.515554001566228770e+00,3.027474314197294092e+01
1.500000000000000000e+00,2.836908869588329907e+01,6.022586904893565407e-01,9.398581453247790707e-01,9.675984145843951820e-03,4.493608524805689619e+00,3.039922368008902254e+01
1.500000000000000000e+00,2.849517353453166990e+01,6.062782063023584023e-01,9.377765078957043254e-01,9.683934353477639465e-03,4.471865849477747012e+00,3.052369777188528488e+01
1.500000000000000000e+00,2.862125837318004073e+01,6.103066247156252455e-01,9.357086409737550570e-01,9.691839436148519046e-03,4.450323223576582166e+00,3.064816552943453587e+01
1.500000000000000000e+00,2.874734321182840802e+01,6.143439260981663486e-01,9.336543934003572742e-01,9.699699794113485901e-03,4.428977944266829780e+00,3.077262706314374441e+01
1.500000000000000000e+00,2.887342805047677885e+01,6.183900909482846764e-01,9.316136163297552564e-01,9.707515822574872694e-03,4.407827356795309015e+00,3.089708248178334671e+01
1.500000000000000000e+00,2.899951288912514968e+01,6.224450998921650102e-01,9.295861631837086803e-01,9.715287911764496770e-03,4.386868853431447945e+00,3.102153189251587051e+01
1.500000000000000000e+00,2.912559772777352052e+01,6.265089336824816169e-01,9.275718896072747688e-01,9.723016447025899928e-03,4.366099872435520446e+00,3.114597540092399441e+01
1.500000000000000000e+00,2.925168256642189135e+01,6.305815731970277893e-01,9.255706534256359364e-01,9.730701808894948873e-03,4.345517897053849943e+00,3.127041311103803523e+01
1.500000000000000000e+00,2.937776740507025863e+01,6.346629994373668149e-01,9.235823146019489505e-01,9.738344373178754732e-03,4.325120454540172688e+00,3.139484512536279581e+01
1.500000000000000000e+00,2.950385224371862947e+01,6.387531935275018169e-01,9.216067351961866327e-01,9.745944511032982732e-03,4.304905115202355859e+00,3.151927154490393335e+01
1.500000000000000000e+00,2.962993708236700030e+01,6.428521367125663577e-01,9.196437793249425674e-01,9.753502589037512174e-03,4.284869491473645375e+00,3.164369246919381240e+01
1.500000000000000000e+00,2.975602192101537113e+01,6.469598103575348036e-01,9.176933131221738371e-01,9.761018969270970555e-03,4.265011237008164535e+00,3.176810799631632776e+01
