stage,variable,bin_left,bin_right,center,category,line,N_gal_support,mean_line_surface,in_fixed_reliable_range
close-to-peak,radius_re,0.0,0.25,0.125,NSF,HB4861,5,2.2745469093807715e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,HA6562,5,5.327909534015232e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,OIII5006,5,5.3197845550634715e+38,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,NII6583,5,1.7060829762946114e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,SII_SUM,5,1.4625802131843803e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,HB4861,5,1.8629132187905665e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,HA6562,5,1.276927237497113e+39,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,OIII5006,5,3.690465164714111e+38,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,NII6583,5,7.769448732912906e+38,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,SII_SUM,5,6.7427588798622105e+38,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,HB4861,5,4.469406448551784e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,HA6562,5,3.8395455827768356e+39,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,OIII5006,5,3.2993417490755437e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,NII6583,5,1.1654992371920673e+39,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,SII_SUM,5,9.402504143296411e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,HB4861,5,1.3424984555163742e+39,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,HA6562,5,8.029638186854072e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,OIII5006,5,2.0563387209502337e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,NII6583,5,4.743069645630111e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,SII_SUM,5,3.843197638639497e+38,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,HB4861,5,2.810510371874914e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,HA6562,4,2.826373521966196e+39,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,OIII5006,4,2.288986391346271e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,NII6583,4,8.715171711609286e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,SII_SUM,4,6.7502846801937686e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,HB4861,4,9.88242490197969e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,HA6562,5,4.97190820062621e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,OIII5006,5,1.3350005841660278e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,NII6583,5,2.918704767037129e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,SII_SUM,5,2.4587785818781145e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,HB4861,5,1.741884933873398e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,HA6562,4,2.348447494321697e+39,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,OIII5006,4,2.5855104366246497e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,NII6583,4,7.266738927212897e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,SII_SUM,4,6.173123540636745e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,HB4861,4,8.211354875250678e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,HA6562,5,3.5748916004182346e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,OIII5006,5,1.0800205993411169e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,NII6583,5,2.012762597435736e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,SII_SUM,5,1.9070914124675048e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,HB4861,5,1.2527208643980606e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,HA6562,3,2.594926767218052e+39,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,OIII5006,3,3.577284556824066e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,NII6583,3,7.646994644362867e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,SII_SUM,3,6.7358858149834384e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,HB4861,3,9.073170514748422e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,HA6562,5,3.2857501305268627e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,OIII5006,5,1.2512027181515711e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,NII6583,5,1.6239452973069717e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,SII_SUM,5,1.7183375006856003e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,HB4861,5,1.1502302083409805e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,HA6562,3,2.3893223673378537e+39,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,OIII5006,3,2.0625482108106235e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,NII6583,3,7.215407771732348e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,SII_SUM,3,5.9736726761017444e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,HB4861,3,8.354274011670805e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,NSF,HA6562,4,2.2873315055228307e+38,True
