stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,radius_re,0.875,T,0.017675230011267286,0.011688811741013765,0.023740106154014798,8,0.0,0.0
pre-peak,radius_re,0.875,F_SF,0.5546207017856468,0.5017579701540174,0.6097126332139541,8,0.0,0.0
pre-peak,radius_re,0.875,F_NSF,0.32855897128810085,0.30008370643738774,0.35678783982310697,8,0.0,0.0
pre-peak,radius_re,0.875,I_NSF,1.3266874503437734e+39,6.2126789367387515e+38,2.0182067063941222e+39,8,0.0,0.0
pre-peak,radius_re,0.875,J_NSF,5.0569120882922704e+38,1.872725073410337e+38,8.200216468524996e+38,8,0.0,0.0
pre-peak,radius_re,0.875,HA6562,1.44016815630403e+39,7.472388228416479e+38,2.1236800635401878e+39,8,0.0,0.0
pre-peak,radius_re,0.875,HB4861,5.035967414385077e+38,2.613056861158971e+38,7.426009504878064e+38,8,0.0,0.0
pre-peak,radius_re,0.875,OIII5006,4.338035616749518e+38,1.8725976747614784e+38,6.777228510964563e+38,8,0.0,0.0
pre-peak,radius_re,0.875,NII6583,5.1190476779880865e+38,3.560464321677597e+38,6.702903034247565e+38,8,0.0,0.0
pre-peak,radius_re,0.875,SII_SUM,6.36836438768101e+38,3.574716324406166e+38,9.131070514810217e+38,8,0.0,0.0
pre-peak,radius_re,0.875,F_ND,0.11682032692625224,0.07441879667406813,0.15673763642947322,8,0.0002,0.0
pre-peak,radius_re,1.125,O,0.5331573977894409,0.46458271105023463,0.6036217389716769,8,0.0,0.0
pre-peak,radius_re,1.125,I,0.02269015857528051,0.017396739544356467,0.02817752551648832,8,0.0,0.0
pre-peak,radius_re,1.125,T,0.012097425901426324,0.009024148281772375,0.015188851637060673,8,0.0,0.0
pre-peak,radius_re,1.125,F_SF,0.5331573977894409,0.46458271105023463,0.6036217389716769,8,0.0,0.0
pre-peak,radius_re,1.125,F_NSF,0.2890931934463423,0.2501944278225857,0.3286590610308287,8,0.0,0.0
pre-peak,radius_re,1.125,I_NSF,8.315335105879894e+38,5.1245332517067295e+38,1.1403507419333119e+39,8,0.0,0.0
pre-peak,radius_re,1.125,J_NSF,3.224447534749893e+38,1.4330393674707296e+38,4.987966224809424e+38,8,0.0,0.0
pre-peak,radius_re,1.125,HA6562,9.640333991226102e+38,6.600814293205404e+38,1.271624473650946e+39,8,0.0,0.0
pre-peak,radius_re,1.125,HB4861,3.370941706415707e+38,2.3083279168873435e+38,4.446326460974477e+38,8,0.0,0.0
pre-peak,radius_re,1.125,OIII5006,2.799952653475927e+38,1.7979171619095597e+38,3.7829840471221615e+38,8,0.0,0.0
pre-peak,radius_re,1.125,NII6583,3.687545786678475e+38,2.7275794194101193e+38,4.665425515881119e+38,8,0.0,0.0
pre-peak,radius_re,1.125,SII_SUM,4.425720678459324e+38,3.200383239023577e+38,5.669481729012471e+38,8,0.0,0.0
pre-peak,radius_re,1.125,F_ND,0.17774940876421672,0.09467724926201276,0.26082156826642067,8,0.0,0.0
pre-peak,radius_re,1.375,O,0.5687637439699165,0.4876928314115283,0.649774358272426,8,0.0,0.0
pre-peak,radius_re,1.375,I,0.016615595636954434,0.012657391791213352,0.020809217580254762,8,0.0,0.0
pre-peak,radius_re,1.375,T,0.009450348382764413,0.006936549997652403,0.012033397107983988,8,0.0,0.0
pre-peak,radius_re,1.375,F_SF,0.5687637439699165,0.4876928314115283,0.649774358272426,8,0.0,0.0
pre-peak,radius_re,1.375,F_NSF,0.23876334013028822,0.1766850946087261,0.30166481039360676,8,0.0,0.0
pre-peak,radius_re,1.375,I_NSF,6.257540739056111e+38,4.581529072747892e+38,7.974100732056692e+38,8,0.0,0.0
pre-peak,radius_re,1.375,J_NSF,2.2441053957636243e+38,9.709869840436989e+37,3.497285519585269e+38,8,0.0,0.0
pre-peak,radius_re,1.375,HA6562,9.021829453026338e+38,7.319809099505906e+38,1.0795972241497199e+39,8,0.0,0.0
pre-peak,radius_re,1.375,HB4861,3.1545860409108634e+38,2.559422591355104e+38,3.774960941906894e+38,8,0.0,0.0
pre-peak,radius_re,1.375,OIII5006,2.321354906096439e+38,1.7904917525054655e+38,2.8581666641903584e+38,8,0.0,0.0
pre-peak,radius_re,1.375,NII6583,3.4336052528589314e+38,2.6850766625342642e+38,4.199606084431585e+38,8,0.0,0.0
pre-peak,radius_re,1.375,SII_SUM,3.955790978752611e+38,3.2110602516997783e+38,4.718768397464267e+38,8,0.0,0.0
pre-peak,radius_re,1.375,F_ND,0.19247291589979515,0.09498592524543706,0.28644710918178484,8,0.0,0.0
pre-peak,radius_re,1.625,O,0.4291361406996072,0.3235459847956473,0.5360304099766099,7,0.0,0.0
pre-peak,radius_re,1.625,I,0.011430541955135777,0.007271378326559693,0.015145792107160347,7,0.0,0.0
pre-peak,radius_re,1.625,T,0.00490525866073191,0.0026362195904390527,0.007148924037218157,7,0.0,0.0
pre-peak,radius_re,1.625,F_SF,0.4291361406996072,0.3235459847956473,0.5360304099766099,7,0.0,0.0
pre-peak,radius_re,1.625,F_NSF,0.25365597686755265,0.16646760962311155,0.33733552017200996,7,0.0,0.0
pre-peak,radius_re,1.625,I_NSF,4.456455240699966e+38,3.20961484396637e+38,5.794010525129328e+38,6,0.0,0.0
pre-peak,radius_re,1.625,J_NSF,1.4760925640510494e+38,5.197102506997791e+37,2.381258255188914e+38,7,0.0,0.0
pre-peak,radius_re,1.625,HA6562,5.630328763371533e+38,4.218189070866437e+38,7.065859524196832e+38,6,0.0,0.0
pre-peak,radius_re,1.625,HB4861,1.9690696183735253e+38,1.4748912835197312e+38,2.4707075547994756e+38,6,0.0,0.0
pre-peak,radius_re,1.625,OIII5006,1.6261095306080785e+38,1.169032424355982e+38,2.082587454294713e+38,6,0.0,0.0
pre-peak,radius_re,1.625,NII6583,2.0897875948567226e+38,1.5348439045780944e+38,2.6629222409766935e+38,6,0.0,0.0
pre-peak,radius_re,1.625,SII_SUM,2.6620741796592403e+38,2.082883599822698e+38,3.24288898762115e+38,6,0.0,0.0
pre-peak,radius_re,1.625,F_ND,0.3172078824328401,0.17553487886592123,0.4569750687807376,7,0.0,0.0
